market,state,year,quarter,Sum of unemployment_rate,Average of unemployment_rate2,%Change from previous year
Austin,TX,2020,,30.9,7.725,
,,2021,,22.56666667,5.641666667,-26.97%
,,2022,,15.76666667,3.941666667,-30.13%
,,2023,,15.8,3.95,0.21%
,,2024,,12,4,1.27%
,TX Total,,,97.03333333,5.107017544,
Austin Total,,,,97.03333333,5.107017544,
Chicago,IL,2020,,37.23333333,9.308333333,
,,2021,,24.4,6.1,-34.47%
,,2022,,18.26666667,4.566666667,-25.14%
,,2023,,17.83333333,4.458333333,-2.37%
,,2024,,14.93333333,4.977777778,11.65%
,IL Total,,,112.6666667,5.929824561,
Chicago Total,,,,112.6666667,5.929824561,
Dallas/Ft Worth,TX,2020,,30.9,7.725,
,,2021,,22.56666667,5.641666667,-26.97%
,,2022,,15.76666667,3.941666667,-30.13%
,,2023,,15.8,3.95,0.21%
,,2024,,12,4,1.27%
,TX Total,,,97.03333333,5.107017544,
Dallas/Ft Worth Total,,,,97.03333333,5.107017544,
Houston,TX,2020,,30.9,7.725,
,,2021,,22.56666667,5.641666667,-26.97%
,,2022,,15.76666667,3.941666667,-30.13%
,,2023,,15.8,3.95,0.21%
,,2024,,12,4,1.27%
,TX Total,,,97.03333333,5.107017544,
Houston Total,,,,97.03333333,5.107017544,
Los Angeles,CA,2020,,40.76666667,10.19166667,
,,2021,,29.3,7.325,-28.13%
,,2022,,17.1,4.275,-41.64%
,,2023,,18.96666667,4.741666667,10.92%
,,2024,,15.76666667,5.255555556,10.84%
,CA Total,,,121.9,6.415789474,
Los Angeles Total,,,,121.9,6.415789474,
Manhattan,NY,2020,,39.56666667,9.891666667,
,,2021,,28.36666667,7.091666667,-28.31%
,,2022,,17.3,4.325,-39.01%
,,2023,,16.83333333,4.208333333,-2.70%
,,2024,,12.96666667,4.322222222,2.71%
,NY Total,,,115.0333333,6.054385965,
Manhattan Total,,,,115.0333333,6.054385965,
Philadelphia,PA,2020,,35.5,8.875,
,,2021,,23.7,5.925,-33.24%
,,2022,,16.2,4.05,-31.65%
,,2023,,13.63333333,3.408333333,-15.84%
,,2024,,10.2,3.4,-0.24%
,PA Total,,,99.23333333,5.222807018,
Philadelphia Total,,,,99.23333333,5.222807018,
San Francisco,CA,2020,,40.76666667,10.19166667,
,,2021,,29.3,7.325,-28.13%
,,2022,,17.1,4.275,-41.64%
,,2023,,18.96666667,4.741666667,10.92%
,,2024,,15.76666667,5.255555556,10.84%
,CA Total,,,121.9,6.415789474,
San Francisco Total,,,,121.9,6.415789474,
South Bay/San Jose,CA,2020,,40.76666667,10.19166667,
,,2021,,29.3,7.325,-28.13%
,,2022,,17.1,4.275,-41.64%
,,2023,,18.96666667,4.741666667,10.92%
,,2024,,15.76666667,5.255555556,10.84%
,CA Total,,,121.9,6.415789474,
South Bay/San Jose Total,,,,121.9,6.415789474,
Washington D.C.,DC,2020,,31.56666667,7.891666667,
,,2021,,27.5,6.875,-12.88%
,,2022,,19,4.75,-30.91%
,,2023,,19.5,4.875,2.63%
,,2024,,16.03333333,5.344444444,9.63%
,DC Total,,,113.6,5.978947368,
Washington D.C. Total,,,,113.6,5.978947368,
(blank),(blank),(blank),(blank),,,
,,(blank) Total,,,,
,(blank) Total,,,,,
(blank) Total,,,,,,
Grand Total,,,,1097.333333,5.775438596,
